feature,importance_mean,importance_std
bert::110,0.009209929132943518,0.0031886392734537905
bert::246,0.009127896319818229,0.003256466357128454
bert::751,0.008743864408548286,0.0030530100720920533
bert::498,0.007943870081397941,0.004802076817555851
bert::414,0.007935023471754277,0.004890838795420466
bert::719,0.007764884448402998,0.0026246848214350913
bert::483,0.007723868041840354,0.002643990929705176
bert::425,0.007723868041840354,0.002643990929705176
bert::376,0.007471986373503858,0.004660919737624003
bert::448,0.0066203228056912035,0.003997687195891712
bert::440,0.00656692741178142,0.0057296614900229515
bert::39,0.006565938203238341,8.203281312528788e-05
bert::547,0.006565938203238341,8.203281312528788e-05
bert::697,0.006524921796675698,0.00010046926716102096
bert::290,0.006524921796675698,0.00010046926716102097
bert::636,0.006524921796675698,0.00010046926716102097
bert::168,0.006524921796675698,0.00010046926716102096
bert::721,0.006483905390113054,0.00010046926716102096
bert::229,0.006443493526442801,0.0041150239659591414
bert::755,0.00644288898355041,8.203281312528788e-05
bert::387,0.006437938181680791,0.003847462799236357
bert::187,0.006401872576987766,0.0
bert::205,0.006401872576987766,0.0
bert::701,0.006401872576987766,0.0
bert::662,0.006401872576987766,0.0
bert::60,0.006401872576987766,0.0
bert::360,0.006401872576987766,0.0
bert::474,0.006401872576987766,0.0
bert::711,0.006043147269502747,0.003898831887107896
bert::389,0.0054604646246464664,0.0022929799703090394
bert::417,0.005379640897305959,0.006239848607585111
bert::4,0.005365128847237855,0.0026014226179150207
bert::716,0.005318643586466898,0.0025766220466681756
bert::764,0.005291032542049101,0.002649138554356677
bert::195,0.005285343810599086,0.0024398639858268295
bert::478,0.005285343810599086,0.00243986398582683
bert::283,0.005277627179904254,0.0025573476057003538
bert::654,0.005277627179904254,0.0025573476057003538
bert::0,0.005244931946928833,0.004772776154588184
bert::131,0.00523661077334161,0.0025372638195843063
bert::144,0.00523661077334161,0.0025372638195843063
bert::353,0.005203530874715501,0.002603381477821859
bert::752,0.005203310997473798,0.0023971231590279364
bert::88,0.005195594366778966,0.002516351309485051
bert::445,0.005170158228075627,0.0027721898529544497
bert::227,0.005162514468152857,0.002582478984328684
bert::374,0.005154577960216322,0.0024945892335428875
bert::561,0.005148930246790484,0.0025028219377513567
bert::102,0.0051214980615902125,0.0025607490307951067
bert::20,0.0051214980615902125,0.0025607490307951067
bert::21,0.0051214980615902125,0.0025607490307951062
bert::238,0.0051214980615902125,0.0025607490307951062
bert::252,0.0051214980615902125,0.0025607490307951067
bert::307,0.0051214980615902125,0.0025607490307951062
bert::380,0.0051214980615902125,0.0025607490307951062
bert::613,0.005047109008387696,0.0027095271372001403
bert::189,0.0048705951885611,0.0023186803615580227
bert::731,0.0047181389347167755,0.004791108349784919
bert::629,0.004313974639491946,0.002726391420709765
bert::255,0.0041587232335721595,0.004794579690380593
bert::714,0.004127798637647761,0.002954270571738039
bert::713,0.004127798637647761,0.002954270571738039
bert::156,0.004084626928383406,0.004840442308787102
bert::190,0.004057143287422504,0.0032464228688975677
bert::506,0.004057040889560981,0.002892041530037077
bert::221,0.004038049193827642,0.0029831232263370644
bert::525,0.0040303325631328105,0.0031557046371713474
bert::542,0.0040160244829983375,0.002935112014153505
bert::490,0.004004969295201532,0.0031066415808181334
bert::397,0.00400474941795983,0.002935864295113469
bert::753,0.003989316156570166,0.0031231128037016477
bert::213,0.003989316156570166,0.0031231128037016477
bert::297,0.0039231563593179475,0.0032041189686291206
bert::516,0.0038821399527553036,0.0031706384573474064
bert::528,0.0038821399527553036,0.0031706384573474064
bert::188,0.0038767762373613348,0.006616069251962356
bert::369,0.003875850670410719,0.0031768369648784264
bert::245,0.0038485474288737277,0.003136909565396092
