Comment	,	Personality
این رویکرد می‌تواند کار کند، اما بهتر است به سمت خلاقیت بیشتری برویم.	,	1
من فکر می‌کنم شما به جنبه‌های مهمی از مسئله توجه نکرده‌اید که می‌تواند بر نتیجه تأثیر بگذارد.	,	2
من به دنبال ایجاد یک فضای دوستانه و حمایتی در گروه هستم.	,	3
توجه به نیازهای دیگران، نشانه‌ای از مسئولیت اجتماعی است.	,	4
شواهد تجربی این ادعا را به خوبی تأیید می‌کنند.	,	5
گذراندن وقت در کتابخانه و جستجو برای منابع جدید می‌تواند بسیار مفید باشد.	,	6
من معتقدم که احترام به یکدیگر باعث بهبود روحیه گروه می‌شود.	,	3
بیایید در مورد نقاط قوت و ضعف هر یک از راه‌حل‌های ممکن بحث کنیم.	,	2
من فکر می‌کنم که مسئولیت اجتماعی باید بخشی از زندگی ما باشد.	,	4
آیا کسی می‌تواند در مورد چالش‌های اجتماعی مربوط به این موضوع صحبت کند؟	,	4
من به این فکر می‌کنم که ممکن است شما برخی از شواهد کلیدی را از دست داده باشید.	,	5
ما باید از تجربیات یکدیگر برای بهبود کیفیت کارمان استفاده کنیم.	,	3
ایده‌های جدید می‌تواند از تجربیات روزمره ناشی شود.	,	1
آیا کسی می‌تواند در زمینه تأثیرات اجتماعی این موضوع بحث کند؟	,	4
توجه به مسائل انسانی و اجتماعی یکی از ارکان مسئولیت‌پذیری است.	,	4
شواهد موجود به وضوح نشان می‌دهند که رویکرد شما نمی‌تواند مؤثر باشد.	,	2
چگونه می‌توانیم با یکدیگر در پروژه کار کنیم تا کارایی بیشتری داشته باشیم؟	,	3
آیا کسی پیشنهادی برای حل این مسأله دارد؟ من در فکر روش‌های مختلف هستم.	,	2
استفاده از روش‌های خلاقانه برای حل چالش‌های اجتماعی می‌تواند بسیار مؤثر باشد.	,	1
این نوع استدلال می‌تواند به ما در فهم بهتر کمک کند.	,	5
من فکر می‌کنم که این روش نیاز به بازنگری دارد و نمی‌تواند پاسخگوی همه نیازها باشد.	,	6
می‌خواهم از شما بپرسم که آیا شواهدی برای این ادعا وجود دارد؟	,	5
شما به جنبه‌های مهمی از مسئولیت اجتماعی بی‌توجه بوده‌اید؛ باید به همدیگر کمک کنیم.	,	4
